created_link,title,category,keywords,source_link,
https://stock.adobe.com/170312844,Man removing burnt cake from the oven,Food,"baking, black, burned, burnt, cake, oven, ruined, glove, hand, indoor, home, accident, adult, cooker, cooking, dirty, domestic, fail, bankruptcy, female, homemade, housework, kitchen, leisure, lifestyle, person, woman, young",https://as1.ftcdn.net/v2/jpg/01/70/31/28/1000_F_170312844_Q445jYIAeEiWmJBLPYDHDDKJp1m8tgiA.jpg,
https://stock.adobe.com/120496638,Stack of pancakes on frying pan,Pancakes,"battercake, crepes, background, fried, homemade, cake, hot, food, morning, dessert, brunch, frying pan, breakfast, healthy, snack, sweet, tasty, traditional, wooden, up high, baked, bakery goods, cooked, cooking, copy space, cookery, delicious, european, gold, meal, overhead, pan, pastry, round, russian, rustic, stack, table, topview, wood, yellow",https://as1.ftcdn.net/v2/jpg/01/20/49/66/1000_F_120496638_IgMKZtgssParlJxd96QWTu3dQ9TBhC0q.jpg,
https://stock.adobe.com/137202110,Cheerful woman cooking and looking at tablet computer.,Women,"woman, cooking, bakery, baking, beautiful, cake, caucasian, cheerful, comfort, cook, cookie, counter, diet, domestic, dough, drink, farm, food, girl, happy, health, hobby, home, homemaker, ingredient, interior, leisure, life, 1, pastry, people, pleasure, preparation, preparing, holding, tablet, computer, network, cyberspace",https://as2.ftcdn.net/v2/jpg/01/37/20/21/1000_F_137202110_8FrW9okd3bMvye2q8RHYt19taH0BNHvL.jpg,
https://stock.adobe.com/300924777,Young focused woman working with chart,Business,"woman, chart, laptop, smart, student, graph, technology, analysis, casual attire, cafes, focused, strategy, planning, lifestyle, online, investment, corporate, information, young, professional, table, work, datum, diagram, connection, blond, job, using, attractive, education, university, beautiful, business, goggles, modern, cyberspace, wireless, contraption, device, study, female, notepad, blurred, copy space",https://as2.ftcdn.net/v2/jpg/03/00/92/47/1000_F_300924777_avIonT2WOgIhRaooWtkBvt5spGeHd1J3.jpg,
https://stock.adobe.com/354278369,i need that paper. woman holding recycling bin. paper will go to bin with waste paper. save our planet. sexy secretary try to find lost document. business office. Disposal of paper in trash is must,People,"office, woman, trash, paper, garbage, disposal, men at work, digging, search, holding, businesswoman, recycling, ceo, ashbin, messy, crumpled, bin, business, looking, waste, throw, hold, basket, save, note, planet, sexy, lost, container, secretary, director, realtor, litter, piece, paper, document, rubbish, girl, boss, manager, employer, find, broker, sweeping, waste paper",https://as2.ftcdn.net/v2/jpg/03/54/27/83/1000_F_354278369_yBJzgh8KjcOXV8pEWmWFWx5Gx4YHO7tC.jpg,
https://stock.adobe.com/37110205,Two Female Executives Working In Office,Business Men and Women,"woman, female, business, woman, person, brunette, corporate, young, beautiful, girl, adult, executive, professional, pretty, attractive, lady, office, interior, smile, happy, portrait, date, appointment, schedule, secretary, assistant, personal, plan, aged, associate, book, businesswoman, caucasian, colleague, communication, computer, co-worker, discussion, ethnic, lifestyle, middle, mixed, multi, people, pointing, profession, showing, working, workplace",https://as1.ftcdn.net/v2/jpg/00/37/11/02/1000_F_37110205_KVgaXDmA2yLahsw0QNt9ooI9syzhArsK.jpg,
https://stock.adobe.com/148435018,Beautiful Businesswoman typing on laptop,Office Life,"office, young, computer, business, laptop, technology, adult, people, businesswoman, female, professional, working, beautiful, person, woman, desk, sitting, woman, men at work, cyberspace, work, smile, looking, attractive, job, casual attire, caucasian, indoor, modern, 1, portrait, smiling, lifestyle, expertise, pretty, occupation, manager, corporate, cheerful, beauty, happy, success, tied-up",https://as1.ftcdn.net/v2/jpg/01/48/43/50/1000_F_148435018_wANnueq5hF74lvrKsJ4XlwjcwWwo54rs.jpg,
https://stock.adobe.com/278560833,Group of business people working and communicating in office together with colleagues,People,"business, office, teamwork, people, communication, meeting, team, man, success, businessman, woman, caucasian, discussion, corporate, partnership, brainstorming, group, professional, cooperation, working, work, young, technology, modern, expertise, idea, talking, togetherness, person, male, adult, men at work, businesswoman, laptop, confidence, smiling, executive, strategy, occupation, employee, computer, creativity, happiness, office worker",https://as1.ftcdn.net/v2/jpg/02/78/56/08/1000_F_278560833_hY3n1GSkXKGYNfNppfLJopzCeyuHMaou.jpg,
https://stock.adobe.com/322543510,Two middle age business workers smiling happy and confident. Working together with smile on face using laptop at the office,People,"adult, background, beautiful, boss, business, businessman, businesswoman, colleague, communication, computer, confident, corporate, couple, elegant, employee, face, female, finance, happy, laptop, male, man, management, manager, meeting, office, people, portrait, professional, project, reunion, senior, smiling, success, successful, table, talking, team, teamwork, technology, together, 2, using, woman, work, men at work, working, workplace",https://as2.ftcdn.net/v2/jpg/03/22/54/35/1000_F_322543510_S45uimJxLyCk9d4fDAH00c4kpBf8IPob.jpg,
https://stock.adobe.com/307151257,Businessman discussing project with colleague,Business,"business, working, discussion, corporate, meeting, strategy, project, manager, man, smiling, success, presentation, office, modern, discussing, talking, middle-aged, executive, employee, co-worker, conference, explain, brainstorming, idea, finance, planning, african, american, black, successful, job, occupation, professional, desk, digital, tablet, computer",https://as1.ftcdn.net/v2/jpg/03/07/15/12/1000_F_307151257_IdcnEOA7YZJBEn6ynDxayowYlgf141CC.jpg,
https://stock.adobe.com/187718128,Book about NVC Non-verbal communication on a table.,Lifestyle,"communication, verbal, non, language, body, written, nonverbal, position, business, nobody, information, marketing, advertising, communicate",https://as2.ftcdn.net/v2/jpg/01/87/71/81/1000_F_187718128_BYlfbrYBF2Wh0YnACBjH7uXA23UkOHFQ.jpg,
https://stock.adobe.com/224872586,Successfully finished verbal presentation on seminar with applause,Business Presentations,"woman, seminar, education, lecture, businesswoman, female, young, group, presentation, audience, communication, finish, verbal, exposure, applause, successfully, team, people, applause, meeting, together, business, result, company, manager, employee, working, room, male, corporation, businessman, man, report, stronger, job, talking, colleague, businessperson, employee, projector, board, chart, finance, indoor, office, employment, technology, caucasian, horizontal, background",https://as2.ftcdn.net/v2/jpg/02/24/87/25/1000_F_224872586_kLSjNZK9PUE2LAQEXI4GyaDOzORU4Kef.jpg,
https://stock.adobe.com/316760820,Multiethnic business people in meeting,Business,"corporate, meeting, business, working, businessman, team, planning, group, teamwork, work, conference, businesswoman, man, woman, strategy, professional, plan, colleague, communication, discussion, project, idea, brainstorming, finance, marketing, office, partnership, african, american, people, financial, formal, modern, explaining, leadership, discussing",https://as1.ftcdn.net/v2/jpg/03/16/76/08/1000_F_316760820_iqXSx6DXaKbmioZSj5FA1rHp7HRO7Meg.jpg,
https://stock.adobe.com/299372260,Young businesswoman using laptop at table in office,People,"adult, background, beautiful, boss, business, businesswoman, career, caucasian, ceo, company, computer, corporate, datum, design, desk, desktop, entrepreneur, executive, female, financial, freelancer, girl, indoor, cyberspace, job, laptop, manager, mobile, modern, office, online, person, phone, portrait, professional, secretary, sitting, smart, smartphone, smiling, table, technology, using, woman, work, men at work, working, workplace, young",https://as1.ftcdn.net/v2/jpg/02/99/37/22/1000_F_299372260_eoycIMuP1PaqH6szTRibHAbtRHubR5iv.jpg,
https://stock.adobe.com/45322127,Businesswoman writes on a document,Business Men and Women,"laptop, computer, cyberspace, technology, pen, write, work, secretary, paper, folder, office, sitting, businesswoman, writing, success, manager, cafes, eatery, goggles, asian, indonesian, japanese, chinese, indian, hispanic, brunette, file, report, document, woman, female, girl, young, window, tied-up, business, beautiful, beauty, finance, people, pretty, adult, table, men at work, workplace, portrait, desk, attractive, corporate",https://as2.ftcdn.net/v2/jpg/00/45/32/21/1000_F_45322127_UuiqGe9hOmMREd9xE9mZ40HGMMuONgKh.jpg,
https://stock.adobe.com/117422568,Successful businesswoman,Business Men and Women,"woman, businesswoman, adult, corporate, young, smiling, cheerful, successful, confident, portrait, beautiful, indoor, office, eyewear, sitting, table, workplace, professional, occupation, caucasian, secretary, writing, notebook, pen, executive",https://as2.ftcdn.net/v2/jpg/01/17/42/25/1000_F_117422568_xjQPQYaE9wFTaTQocjjXjVrhTVbD36dr.jpg,
https://stock.adobe.com/101665287,Checking business solutions,Business Men and Women,"business, couple, laptop, computer, young, people, man, office, looking, happy, woman, 2, technology, casual attire, work, caucasian, teamwork, smiling, working, male, using, female, cyberspace, web, communication, together, meeting, adult, businessman, professional, indoor, businesswoman, team, online, designer, attractive, standing, modern, businessperson",https://as1.ftcdn.net/v2/jpg/01/01/66/52/1000_F_101665287_SzCvHoFjZFQydJkPZZBs5buzfV5rmOR4.jpg,
https://stock.adobe.com/253417747,"beautiful girl businesswoman, in a cafe, drinking coffee, working on a laptop",Business,"business, office, computer, woman, laptop, businesswoman, people, working, meeting, smiling, young, work, businessman, happy, doctor, sitting, desk, team, looking, businessperson, job, person, workplace, group, professional, adult, african, american, asian, background, beautiful, cafes, hot drink, communication, concept, drink, female, girl, hair, cyberspace, lifestyle",https://as2.ftcdn.net/v2/jpg/02/53/41/77/1000_F_253417747_2Ohsx34cT4LNkbWZvxVUOH7w6Flfqsoi.jpg,
https://stock.adobe.com/274039927,Handsome businessman planning work and taking notes.,Business,"man, note, office, young, businessman, sitting, photogenic, laptop, desk, business, modern, working, technology, writing, workplace, planning, portrait, notebook, 1, caucasian, entrepreneur, project, serious, pen",https://as2.ftcdn.net/v2/jpg/02/74/03/99/1000_F_274039927_QvWhORcc3ajON39BxaGRKGryzv1POT6e.jpg,
https://stock.adobe.com/297102260,"CEO owner leader company staff member portrait, possibly finance, accountant, manager",People,"businesswoman, business, female, success, beautiful, cheerful, manager, happy, portrait, co-worker, office, confidence, pretty, woman, technology, executive, suit, employee, smile, entrepreneur, beauty, corporate, work, lawyer, professional, confident, attractive, person, positive, successful, accountant, lawyer, ceo, staff, secretary, law, career, men at work, lady, management, modern, smart, company, bank, leader, member, friendly, elegant",https://as1.ftcdn.net/v2/jpg/02/97/10/22/1000_F_297102260_Nt4k2jJOzd5b1Yb774HSvJ39KVX1slG5.jpg,
https://stock.adobe.com/271623565,Young business woman working on laptop in office,Business,"laptop, computer, woman, business, office, businesswoman, working, young, home, work, smiling, cyberspace, desk, people, sitting, portrait, happy, technology, beautiful, person, notebook, student, smile, men at work, professional, businessperson, businessperson, female, indoor, formal, young adult, employee, manpower, workplace, startup, startup, creativity, entrepreneur, one person, hipster, occupation, success, joy, positive, confident, successful",https://as2.ftcdn.net/v2/jpg/02/71/62/35/1000_F_271623565_qc4v020cmYDq4JeVTxVIDRJgmXFTfWOM.jpg,
https://stock.adobe.com/241527542,Stressed businesswoman trying to meet deadline in office,Business,"accuracy, business, businesswoman, career, caucasian, clock, concept, countdown, deadline, duration, efficiency, emotional, employee, female, finish, formal, goal, job, late, look, lot, management, meet, miss, office, organisation, people, person, planning, problem, profession, punctuality, rationality, schedule, sitting, stressed, style, table, target, task, time, trouble, trying, watch, woman, work, worry, wrist, young",https://as2.ftcdn.net/v2/jpg/02/41/52/75/1000_F_241527542_TbA7XJ4POL4ZjHRbZkYzSC8Mu5ecmtj6.jpg,
https://stock.adobe.com/331014138,Business people discussing document in office lobby.,Business,"business, meeting, man, work, 2, negotiate, office, partner, portrait, businessman, confident, document, people, manager, strategy, staff, adult, beard, bearded, career, caucasian, businesswoman, collaboration, colleague, communication, company, standing, contract, corporate, executive, eyeglass, photogenic, idea, male, plan, professional, success, team, teamwork, men at work, workplace, young, happy, woman, female, modern, smile, holding, notebook",https://as2.ftcdn.net/v2/jpg/03/31/01/41/1000_F_331014138_NK5H02jyjU9R2qNmvS3GxvOydG2sjmnw.jpg,
https://stock.adobe.com/194268636,Portrait of focused confident concentrated smart intelligent clever busy expert specialist assistant giving recommendations advice to clients organizing meetings writing information to notepad,Business Situations,"agent, agreements, boss, business, businessman, call, center, chatting, chief, client, collar, computer, confident, corporate, executive, guy, happy, help, jacket, job, landline, laptop, listen, male, man, manager, meeting, notepad, note, office, organise, organiser, partnership, pen, phone, schedule, smiling, speak, suit, talk, phone, tell, timetable, work, men at work, workplace, workstation, writing, young",https://as1.ftcdn.net/v2/jpg/01/94/26/86/1000_F_194268636_INARh9WaeqBbcBoIgIsSQo5OJOdg5KsE.jpg,
https://stock.adobe.com/250133836,Portrait of a beautiful female administrative assistant at workplace.,People,"assistant, office, administrative, woman, accountant, young, business, beauty, laptop, professional, portrait, attractive, female, sitting, person, working, manager, smiling, secretary, occupation, workplace, administrator, desk, businesswoman, looking, camera, modern, eyeglass",https://as1.ftcdn.net/v2/jpg/02/50/13/38/1000_F_250133836_m4OJurR3jRLkiReG6rwUG6HFnYtdbvSE.jpg,
https://stock.adobe.com/416330173,Browsing something over the laptop.,Business,"office, teamwork, background, together, male, computer, businessman, people, communication, meeting, job, work, man, technology, business, businesswoman, person, plan, table, smile, indoor, hand, working, young, team, desk, smiling, woman, talking, copy space",https://as2.ftcdn.net/v2/jpg/04/16/33/01/1000_F_416330173_mY4kPLvNmlxn1SSAlRynK3CgOiLqibaL.jpg,
https://stock.adobe.com/225254153,Manager thank for good Job. Supervisor encouraging employees in his team.,Business,"admire, agreements, appreciation, asian, best, business, businessman, career, cheerful, coaching, confident, employee, employment, encouragement, encouraging, good, group, hand, happiness, happy, intern, job, leader, leadership, man, management, manager, office, people, person, positive, praising, recommend, satisfaction, satisfied, showing, smiling, success, successful, supervisor, support, supportive, symbol, team, thumb, work, men at work, young",https://as2.ftcdn.net/v2/jpg/02/25/25/41/1000_F_225254153_d7bqCQT7QyC8Z10ORakr42Kwd1TxVPFz.jpg,
https://stock.adobe.com/199594796,Great job! The boss encourages the staff to do a very good job.,People,"agreements, appreciation, approval, approving, asia, asian, boss, business, businessman, caring, ceo, colleague, comfort, confident, congratulating, emotion, employee, encouragement, encouraging, executive, good, happy, intern, job, leader, leadership, man, manager, mate, people, person, praising, recognition, satisfied, showing, smile, smiling, student, success, successful, supervisor, support, supportive, team, thumb, work, men at work",https://as2.ftcdn.net/v2/jpg/01/99/59/47/1000_F_199594796_ZyausKuJ3Z1k2Uerb3V9INiDpN710O0P.jpg,
